Na2O,MgO,Al2O3,SiO2,P2O5,SO3,Cl,K2O,CaO,TiO2,Cr2O3,MnO,FeO,Ni,Zn,Br,Filename,Sol
3.71,5.05,13.36,46.93,3.2,5.93,1.41,0.61,9.84,0.42,0.08,0.17,9.12,0.0069,0.0388,0.0052,apb_458532061rwp06880390000_______p1.csv,688
3.3,8.19,9.32,43.39,0.73,4.57,0.72,0.84,6.92,0.8,0.73,0.44,19.93,0.028,0.0406,0.0039,apb_459153324rwp06950391176_______p1.csv,695
4.15,3.26,10.88,59.29,0.98,5.7,0.81,2.23,3.78,1.18,0.24,0.02,7.3,0.0178,0.0543,0.0252,apb_459276047rwp06960391396_______p1.csv,696
0.96,12.29,5.62,37.38,0.64,3.57,0.57,3.09,5.26,1.07,0.49,0.53,27.9,0.0516,0.4775,0.0123,apb_460028178rwp07040391888_______p1.csv,704
4.97,6.37,12,47.32,0.7,2.15,0.71,2.16,5.23,0.66,0.21,0.14,16.93,0.0316,0.068,0.004,apb_460163142rwp07060400000_______p1.csv,706
4.72,6.96,11.37,46.83,0.76,2.81,0.75,1.94,5.99,0.76,0.3,0.29,16.38,0.0398,0.055,0.0079,apb_460299440rwp07080400200_______p1.csv,708
2.61,4.36,8.38,53.84,1.72,6.32,0.7,0.57,5.87,1.2,0.35,0.13,13.67,0.0319,0.0766,0.0078,apb_461584149rwp07220401378_______p1.csv,722
2.68,2.73,7.81,59.76,2.1,3.88,0.56,0.52,4.54,1.16,0.32,0.16,13.63,0.03,0.0712,0.0081,apb_461623220rwp07220401378_______p1.csv,722
2.51,2.44,8.14,60.69,1.81,3.65,0.54,0.55,4.44,1.17,0.26,0.12,13.5,0.032,0.0722,0.0093,apb_461583138rwp07220401378_______p1.csv,722
2.87,8.42,8.41,41.35,0.85,7.01,1.4,0.74,6.33,0.96,0.38,0.39,20.7,0.0473,0.0736,0.0257,apb_463402661rwp07420410838_______p1.csv,742
2.92,4.5,10.43,51.88,1.08,5.17,0.37,0.86,3.77,1.07,0.34,0.3,16.93,0.1156,0.1732,0.0057,apb_464560318rwp07560421020_______p1.csv,756
2.41,7.6,9.06,44.8,1.01,11.27,0.67,0.71,4.24,1,0.33,0.29,15.92,0.4169,0.1927,0.0087,apb_464809233rwp07580421020_______p1.csv,758
2.37,7.65,8.69,43.67,1.02,10.11,0.88,0.65,5.3,1.04,0.34,0.32,17.33,0.2798,0.1958,0.0098,apb_464835267rwp07590421020_______p1.csv,759
2.7,3.85,9.96,50.73,1.07,4.42,0.34,0.9,3.88,1.21,0.38,0.31,19.49,0.1261,0.2354,0.0027,apb_464866946rwp07590421020_______p1.csv,759
2.97,3.62,10.58,51.26,1.2,4.07,0.3,0.85,4.06,1.13,0.36,0.35,18.89,0.0483,0.2039,0.0033,apb_465189341rwp07630421020_______p1.csv,763
2.6,7.1,9.18,45.94,0.66,11.01,0.69,0.8,4.09,0.97,0.32,0.16,15.29,0.3647,0.2055,0.0057,apb_465581109rwp07670421020_______p1.csv,767
2.64,4.5,9.75,49.43,1.03,4.73,0.35,0.92,4.08,1.17,0.38,0.35,20.21,0.1126,0.2419,0.0038,apb_465618955rwp07670421020_______p1.csv,767
2.52,6.9,9.24,46.19,1.08,9.94,0.62,0.74,4.38,0.92,0.34,0.34,16.12,0.3084,0.1983,0.0068,apb_466227063rwp07740421020_______p1.csv,774
2.49,6.63,9.46,47.48,1.14,8.77,0.65,0.73,4.36,1.02,0.3,0.3,16.08,0.2244,0.1879,0.0094,apb_466228316rwp07740421020_______p1.csv,774
2.6,6.13,9.68,48.12,1.06,8.34,0.53,0.78,4,0.89,0.37,0.33,16.41,0.2597,0.2045,0.0045,apb_466230825rwp07740421020_______p1.csv,774
2.55,6.2,9.77,48.65,1.07,7.64,0.6,0.7,4.35,1.06,0.37,0.34,16.19,0.2056,0.2169,0.0063,apb_466229570rwp07740421020_______p1.csv,774
2.49,7.29,9.21,45.4,1.09,10.51,0.64,0.71,4.41,1.02,0.34,0.31,15.88,0.3703,0.2171,0.007,apb_466697417rwp07800430000_______p1.csv,780
2.65,5.55,9.73,48.13,1.02,4.86,0.41,0.98,4.58,1.13,0.39,0.36,19.83,0.0928,0.2107,0.004,apb_466868264rwp07820430216_______p1.csv,782
2.67,8.91,9.06,42.89,0.85,4.62,0.62,0.44,7.01,1.05,0.47,0.43,20.77,0.0558,0.0288,0.0049,apb_468650567rwp08020441140_______p1.csv,802
2.71,8.81,9.04,43.43,0.92,5.21,0.7,0.47,6.97,0.99,0.39,0.4,19.78,0.0542,0.0277,0.0044,apb_468739003rwp08030441140_______p1.csv,803
